title,vendor,product_type,price_min,price_max,variant_count,sizes_all,sizes_in_stock,in_stock_count,images_count,image,url,tags
Justin Men's Classic Longhorn Aged Bark Brown Belt (C11198),Justin,Belts,74.00,74.00,8,32 | 34 | 36 | 38 | 40 | 42 | 44 | 46,34 | 36 | 42 | 46,4,3,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/Remove_background_project_-_2025-09-29T150015.667.webp?v=1784143965,https://elherraderoww.com/products/justin-tan-saddle-mens-belt-c11198,Men / Man / Hombre / Caballero
Justin Men's Classic Longhorn Black Belt (C11193),Justin,Belts,74.00,74.00,8,32 | 34 | 36 | 38 | 40 | 42 | 44 | 46,34 | 38 | 42,3,2,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/JST-024-C11193.jpg?v=1784143623,https://elherraderoww.com/products/justin-longhorn-black-mens-belt-c11193,Men / Man / Hombre / Caballero
"Justin Men's Markout 11"" Steel Toe Work Boot (PD4071 / Brown)",Justin,Work Boots & Shoes,149.99,149.99,13,7/EE | 7.5/EE | 8/EE | 8.5/EE | 9/EE | 9.5/EE | 10/EE | 10.5/EE | 11/EE | 11.5/EE | 12/EE | 13/EE | 14/EE,7/EE | 7.5/EE | 8/EE | 8.5/EE | 10/EE | 10.5/EE | 11/EE | 12/EE,8,8,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/JST-002-PD4071.jpg?v=1784143462,https://elherraderoww.com/products/justin-mans-11-water-proof-sof-toe-brown-water-buffalo-pd4071,Men / Man / Hombre / Caballero
"Justin Men's Taskmaker 11"" Waterproof Work Boot (PD4072 /  Brown)",Justin,Work Boots & Shoes,149.99,149.99,13,7/EE | 7.5/EE | 8/EE | 8.5/EE | 9/EE | 9.5/EE | 10/EE | 10.5/EE | 11/EE | 11.5/EE | 12/EE | 13/EE | 14/EE,7/EE | 7.5/EE | 9/EE | 9.5/EE | 10/EE | 10.5/EE | 11/EE | 12/EE,8,8,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/JST-002-PD4072.jpg?v=1784143244,https://elherraderoww.com/products/justin-mans-11-water-proof-sof-toe-black-water-buffalo-pd4072,Men / Man / Hombre / Caballero
Justin Men's Trencher Water Proof Work Boot (PD4066 / Brown Water Buffalo),Justin,Work Boots & Shoes,149.99,149.99,13,7/EE | 7.5/EE | 8/EE | 8.5/EE | 9/EE | 9.5/EE | 10/EE | 10.5/EE | 11/EE | 11.5/EE | 12/EE | 13/EE | 14/EE,7/EE | 7.5/EE | 8.5/EE | 9/EE | 9.5/EE | 10/EE | 10.5/EE | 11/EE | 12/EE,9,3,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/eyJ3Ijo2MDAsImgiOjYwMCwic2NvcGUiOiJhcHAifQ_ab0de25f-b8c6-46f1-959b-a8fc5fbacb34.webp?v=1784142871,https://elherraderoww.com/products/justin-mans-11-water-proof-steel-toe-brown-water-buffalo-pd4066,Men / Man / Hombre / Caballero
M&F Western Products Cowboy Hat Cologne Air Freshener (28500),M&F Western Products,Car Accessories,9.99,9.99,1,,,1,1,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/Cowboy_Hat_Air_Freshener_and_Cologne_prod_54224_l_28500.jpg?v=1784142075,https://elherraderoww.com/products/m-f-western-products-cowboy-hat-cologne-air-freshener-28500,Accessories / Accessory / Accesorio | Men / Man / Hombre / Caballero | Women / Woman / Ladies / Lady / Dama / Mujer
M&F Western Products Cowboy Hat Citrus Air Freshener (28506),M&F Western Products,Car Accessories,9.99,9.99,1,,,0,1,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/Cowboy_Hat_Air_Freshener_Citrus_prod_54227_l_28506.jpg?v=1784141996,https://elherraderoww.com/products/m-f-cowboy-hat-air-freshener-citrus-28506,Accessories / Accessory / Accesorio | Men / Man / Hombre / Caballero | Women / Woman / Ladies / Lady / Dama / Mujer
M&F Western Products Cowboy Hat Vanilla Air Freshener (28502),M&F Western Products,Car Accessories,7.99,7.99,1,,,1,1,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/Cowboy_Hat_Air_Freshener_Vanilla_prod_54225_l_28502.jpg?v=1784141920,https://elherraderoww.com/products/m-f-cowboy-hat-air-freshener-vanilla-28502,Accessories / Accessory / Accesorio | Men / Man / Hombre / Caballero | Women / Woman / Ladies / Lady / Dama / Mujer
M&F Western Products Cowboy Hat Strawberry Air Freshener (28504),M&F Western Products,Car Accessories,9.99,9.99,1,,,1,1,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/Cowboy_Hat_Air_Freshener_Strawberry_prod_54226_l_28504.jpg?v=1784141822,https://elherraderoww.com/products/m-f-cowboy-hat-air-freshener-strawberry-28504,Accessories / Accessory / Accesorio | Men / Man / Hombre / Caballero | Women / Woman / Ladies / Lady / Dama / Mujer
Wrangler Retro Men's Relaxed Boot Cut Jeans (WRT20JH),Wrangler,Pants,84.99,84.99,52,28 x 30 | 28 x 32 | 28 x 34 | 28 x 36 | 29 x 30 | 29 x 32 | 29 x 34 | 29 x 36 | 30 x 30 | 30 x 32 | 30 x 34 | 30 x 36 | 31 x 30 | 31 x 32 | 31 x 34 | 31 x 36 | 32 x 30 | 32 x 32 | 32 x 34 | 32 x 36 | 33 x 30 | 33 x 32 | 33 x 34 | 33 x 36 | 34 x 30 | 34 x 32 | 34 x 34 | 34 x 36 | 35 x 30 | 35 x 32 | 35 x 34 | 35 x 36 | 36 x 30 | 36 x 32 | 36 x 34 | 36 x 36 | 38 x 30 | 38 x 32 | 38 x 34 | 38 x 36 | 40 x 30 | 40 x 32 | 40 x 34 | 40 x 36 | 42 x 30 | 42 x 32 | 42 x 34 | 42 x 36 | 44 x 30 | 44 x 32 | 44 x 34 | 44 x 36,30 x 30 | 30 x 32 | 30 x 34 | 31 x 30 | 31 x 32 | 32 x 30 | 32 x 32 | 32 x 34 | 33 x 30 | 33 x 32 | 34 x 30 | 34 x 32 | 34 x 34 | 35 x 30 | 35 x 32 | 36 x 30 | 36 x 32 | 36 x 34,18,7,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/WRT20JH-HERO.webp?v=1783633217,https://elherraderoww.com/products/wrangler-retro-relaxed-boot-cut-jeans-wrt20jh,Men / Man / Hombre / Caballero
Wrangler Retro Mens Long Sleeve Denim Western Snap Shirt (MVR458D),Wrangler,Shirts & Tops,64.99,64.99,5,S | M | L | XL | XXL,M | XXL,2,6,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/MVR458D-HERO.webp?v=1783632665,https://elherraderoww.com/products/wrangler-retro-mens-shirt-mvr458d,Men / Man / Hombre / Caballero
Wrangler Retro Boys Slim Straight Jeans (88BWZ / 112358318 / Blackwell),Wrangler,Pants,39.99,39.99,14,1T REG | 2T REG | 3T REG | 4 REG | 5 REG | 6 REG | 7 REG | 8 REG | 9 REG | 10 REG | 11 REG | 12 REG | 14 REG | 16 REG,9 REG | 10 REG | 11 REG | 12 REG | 16 REG,5,2,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/112358318-HERO.webp?v=1783631902,https://elherraderoww.com/products/wrangler-retro-boys-slim-straight-jeans-88bwz-black-regular,Boy / Niño / Nino | Youth / Kid / Joven
Wrangler Wrancher Dress Jeans (00082KH/ Beige),Wrangler,Pants,59.99,59.99,52,28/30 | 28/32 | 28/34 | 28/36 | 29/30 | 29/32 | 29/34 | 29/36 | 30/30 | 30/32 | 30/34 | 30/36 | 31/30 | 31/32 | 31/34 | 31/36 | 32/30 | 32/32 | 32/34 | 32/36 | 33/30 | 33/32 | 33/34 | 33/36 | 34/30 | 34/32 | 34/34 | 34/36 | 35/30 | 35/32 | 35/34 | 35/36 | 36/30 | 36/32 | 36/34 | 36/36 | 38/30 | 38/32 | 38/34 | 38/36 | 40/30 | 40/32 | 40/34 | 40/36 | 42/30 | 42/32 | 42/34 | 42/36 | 44/30 | 44/32 | 44/34 | 44/36,30/30 | 30/32 | 31/30 | 31/32 | 33/32 | 40/32,6,5,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/00082KH-HERO.webp?v=1783459057,https://elherraderoww.com/products/wrangler-wrancher-dress-jeans-00082bh-topo,Men / Man / Hombre / Caballero
Wrangler Women's Bespoke High Rise Bootcut Jeans (112371949),Wrangler,Pants,69.99,69.99,39,"0/25/30"" | 0/25/32"" | 0/25/34"" | 1/26/30"" | 1/26/32"" | 1/26/34"" | 3/27/30"" | 3/27/32"" | 3/27/34"" | 5/28/30"" | 5/28/32"" | 5/28/34"" | 7/29/30"" | 7/29/32"" | 7/29/34"" | 9/30/30"" | 9/30/32"" | 9/30/34"" | 11/31/30"" | 11/31/32"" | 11/31/34"" | 13/32/30"" | 13/32/32"" | 13/32/34"" | 15/33/30"" | 15/33/32"" | 15/33/34"" | 17/34/30"" | 17/34/32"" | 17/34/34"" | 19/35/30"" | 19/35/32"" | 19/35/34"" | 21/36/30"" | 21/36/32"" | 21/36/34"" | 23/37/30"" | 23/37/32"" | 23/37/34""","3/27/30"" | 5/28/30"" | 7/29/32"" | 11/31/30"" | 11/31/32"" | 13/32/32"" | 15/33/30"" | 15/33/32"" | 17/34/32"" | 19/35/30"" | 19/35/32"" | 21/36/30"" | 21/36/32"" | 23/37/30"" | 23/37/32""",15,8,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/112371949-ALT1.webp?v=1783458528,https://elherraderoww.com/products/wrangler-womens-bespoke-high-rise-bootcut-jeans-112371949-black,Women / Woman / Ladies / Lady / Dama / Mujer
