product_id,title,vendor,product_type,variant_id,sku,barcode,option1,option2,option3,price,compare_at_price,available,grams,image,images_count,published_at,url,tags
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037574836375,,,33 x 30,,,69.99,,True,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037574869143,,,33 x 32,,,69.99,,True,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037574901911,,,33 x 34,,,69.99,,False,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037574934679,,,33 x 36,,,69.99,,False,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037574967447,,,34 x 30,,,69.99,,True,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037575000215,,,34 x 32,,,69.99,,True,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037575032983,,,34 x 34,,,69.99,,True,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037575065751,,,34 x 36,,,69.99,,False,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037575098519,,,35 x 30,,,69.99,,True,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037575131287,,,35 x 32,,,69.99,,True,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037575164055,,,35 x 34,,,69.99,,True,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037575196823,,,35 x 36,,,69.99,,False,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037575229591,,,36 x 30,,,69.99,,False,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
